,Avg Filter HL,Avg Noise HL,Improv HL
P0,0.41595324834236314,0.6039243029450658,31.12
P2,0.36244003412201253,0.6080965005296508,40.4
P3,0.23931693149374286,0.6223226665623484,61.54
P4,0.2642593102605586,0.6375713961619747,58.55
P5,0.30626005368197995,0.6273957886362959,51.19
P6,0.26090573189362487,0.6115150197508658,57.33
P7,0.355441601682993,0.7167653997827488,50.41
P8,0.4409746628362231,0.7753968272894873,43.13
P9,0.39575100671970265,0.6643076739188611,40.43
P10,0.34864934903746014,0.6590253772092443,47.1
P11,0.39219942858918866,0.7475434599815589,47.53
P12,0.30139368249706966,0.6527341478356645,53.83
P13,0.3019277319356052,0.6550576093411447,53.91
P14,0.3911043715753908,0.6990177771344174,44.05
P16,0.410965246642491,0.5870841665916929,30.0
P17,0.34159031657817707,0.769396226352713,55.6
P18,0.3975602328320749,0.72160392990009,44.91
P19,0.4022278157050264,0.6936498411914012,42.01
P20,0.03428479313516655,0.13069415285619612,73.77
P21,0.039330735904430585,0.09633525899878526,59.17
P22,0.3365317249368768,0.6724559273095794,49.95
P23,0.3854163468944405,0.4526418498962197,14.85
P24,0.37974756470567317,0.7098930284099323,46.51
P25,0.11659592384340417,0.1324464749890405,11.97
P26,0.41087219565093447,0.6901159754966096,40.46
P28,0.14079631610632892,0.20782394899172169,32.25
P29,0.31409075315919566,0.5818377235229579,46.02
P30,0.3736602099316506,0.648166073253299,42.35
P31,0.278756759343061,0.6907407279828544,59.64
P32,0.34497701928246693,0.7628315141821123,54.78
P33,0.34659832862962386,0.6807028763827543,49.08
P34,0.1481638342961515,0.4502653328090638,67.09
P35,0.31286266903528365,0.7051568369935265,55.63
P36,0.22494960631567207,0.47094978027930445,52.23
P38,0.2999279533691466,0.6494283914855439,53.82
P39,0.32279998236561197,0.19787800652358872,-63.13
P40,0.5433802753834844,0.5808021268191352,6.44
P41,0.376161831204073,0.8295914298390403,54.66
P42,0.2554132733242285,0.6367138890298557,59.89
P43,0.3418683617110543,0.7551328605193177,54.73
P44,0.25544540982146463,0.6134843244466275,58.36
P45,0.28302235157092825,0.7575079918743305,62.64
P46,0.2625056867604931,0.6278828767702369,58.19
P48,0.1812625569209557,0.17437230112807278,-3.95
P49,0.3295054873820794,0.6701246519568476,50.83
P50,0.360111469363523,0.7698626820812395,53.22
P52,0.3031546299877643,0.5885806112293746,48.49
P55,0.008876546655337865,0.31740887745149715,97.2
P56,0.4639023280354876,0.5519187039392235,15.95
P57,0.2835399000691946,0.3168464787455816,10.51
P59,0.28520178540228847,0.6824789083098932,58.21
P60,0.23375417330250076,0.5927114997105425,60.56
P62,0.21417669384884208,0.6420217045782318,66.64
P63,0.3050064359587138,0.6209957777865569,50.88
P64,0.3727708548627964,0.5794242873967947,35.67
P65,0.3334830738814717,0.5766331795221966,42.17
P67,0.45416000030919135,0.7672034373245077,40.8
P68,0.29278123593166405,0.6999316383319745,58.17
P71,0.45271725709929733,0.7672643272315849,41.0
P72,0.42210651438945157,0.5067941519828594,16.71
P74,0.4231090593607524,0.7609170479285186,44.39
P77,0.4369362327496726,0.7960892030532274,45.11
P79,0.43842923091611585,0.6460064322888293,32.13
P80,0.2600208609196302,0.6018733771096954,56.8
P82,0.3708294474167185,0.7135325776804831,48.03
P83,0.1673449551185505,0.2294736572981324,27.07
P85,0.41748404337916667,0.7709685394903917,45.85
P86,0.30644143296785337,0.5742595518988054,46.64
P87,0.2930415039595441,0.6026999104295583,51.38
P89,0.40308684556506824,0.5435094784526984,25.84
P91,0.37814421501581774,0.689387959747802,45.15
P92,0.44378982647584897,0.637094527837275,30.34
P93,0.29032500355810004,0.5901784416353011,50.81
P94,0.15361547736250164,0.5148980501169858,70.17
P95,0.2987994125739046,0.5938630629890014,49.69
P96,0.3895583285009965,0.7252608296721765,46.29
P98,0.49753788441833763,0.5753802899117507,13.53
P99,0.3454993089936678,0.6336252617350953,45.47
P100,0.19777916901203257,0.6050461512839189,67.31
P101,0.1847513149710438,0.4742869995533009,61.05
P102,0.2677306016547995,0.5412493087403838,50.53
P103,0.3402133689279325,0.6888473374661244,50.61
P104,0.19883884974336435,0.48056472847730375,58.62
P105,0.4227868804940733,0.6804634125287055,37.87
P106,0.2883348186835559,0.6023281347503708,52.13
P107,0.18680035506296633,0.260853646815145,28.39
P109,0.44538997611404574,0.7057385870432737,36.89
P111,0.1707814218929562,0.5985972706514692,71.47
P112,0.20530102518486248,0.582722059277833,64.77
