Program,Pvalue,Avalue,Mag
P0,0.01,0.37,small
P10,0.0,0.35,small
P100,0.0,0.98,large
P101,0.02,0.39,small
P102,0.09,0.41,small
P103,0.08,0.43,negligible
P104,1.0,0.5,negligible
P105,0.0,0.33,medium
P106,0.34,0.48,negligible
P107,0.0,1.0,large
P109,0.0,0.74,large
P11,0.0,0.35,small
P111,0.08,0.43,negligible
P112,0.16,0.46,negligible
P113,0.16,0.46,negligible
P114,0.0,0.96,large
P115,1.0,0.5,negligible
P116,1.0,0.5,negligible
P117,0.16,0.46,negligible
P118,0.04,0.41,small
P119,0.0,0.83,large
P12,0.08,0.43,negligible
P120,0.16,0.46,negligible
P122,0.0,1.0,large
P123,0.02,0.39,small
P124,0.34,0.48,negligible
P125,0.02,0.39,small
P127,0.0,0.87,large
P128,0.34,0.48,negligible
P129,0.02,0.39,small
P13,0.34,0.48,negligible
P130,0.04,0.41,small
P131,0.34,0.48,negligible
P132,0.0,1.0,large
P133,0.0,0.8,large
P134,0.0,1.0,large
P135,0.02,0.39,small
P136,0.02,0.39,small
P137,1.0,0.5,negligible
P138,0.01,0.37,small
P139,0.08,0.43,negligible
P14,0.0,0.35,small
P141,0.0,0.98,large
P144,0.0,0.35,small
P145,0.34,0.48,negligible
P146,0.0,1.0,large
P147,1.0,0.5,negligible
P148,0.34,0.48,negligible
P149,0.01,0.37,small
P150,0.0,0.78,large
P152,0.34,0.48,negligible
P153,0.58,0.54,negligible
P154,0.16,0.46,negligible
P155,0.0,1.0,large
P156,0.04,0.41,small
P157,0.02,0.39,small
P158,0.01,0.37,small
P159,0.08,0.43,negligible
P16,0.0,0.93,large
P160,0.34,0.48,negligible
P161,0.02,0.39,small
P162,0.0,0.87,large
P163,1.0,0.5,negligible
P164,1.0,0.5,negligible
P167,0.0,0.98,large
P168,0.0,0.35,small
P169,0.04,0.41,small
P17,0.57,0.52,negligible
P170,0.04,0.41,small
P172,0.01,0.37,small
P173,0.0,0.33,medium
P174,0.34,0.48,negligible
P175,0.04,0.41,small
P176,0.02,0.39,small
P177,0.01,0.37,small
P178,0.04,0.41,small
P18,0.0,0.35,small
P181,0.02,0.39,small
P182,0.01,0.37,small
P183,0.04,0.41,small
P184,0.0,0.26,large
P186,0.16,0.46,negligible
P187,0.0,0.89,large
P188,0.0,0.8,large
P189,0.0,0.96,large
P19,0.0,0.35,small
P191,0.01,0.37,small
P193,0.04,0.41,small
P194,0.08,0.43,negligible
P195,0.04,0.41,small
P196,0.01,0.37,small
P197,0.02,0.39,small
P198,1.0,0.5,negligible
P199,0.0,0.35,small
P2,0.0,0.35,small
P20,1.0,0.5,negligible
P200,0.0,1.0,large
P201,0.01,0.7,medium
P202,0.34,0.48,negligible
P203,0.02,0.39,small
P204,0.0,0.33,medium
P205,1.0,0.5,negligible
P207,0.34,0.48,negligible
P209,0.16,0.46,negligible
P21,1.0,0.5,negligible
P210,0.0,0.87,large
P211,0.0,0.98,large
P212,0.01,0.37,small
P213,1.0,0.5,negligible
P214,0.0,1.0,large
P216,1.0,0.5,negligible
P218,0.0,0.87,large
P219,0.0,1.0,large
P22,0.34,0.48,negligible
P220,0.0,1.0,large
P224,0.0,1.0,large
P225,0.04,0.41,small
P226,0.01,0.37,small
P227,0.0,0.91,large
P228,0.02,0.39,small
P229,1.0,0.5,negligible
P23,0.0,1.0,large
P230,0.34,0.48,negligible
P231,0.34,0.48,negligible
P233,0.04,0.41,small
P234,0.02,0.39,small
P235,0.04,0.41,small
P237,0.02,0.39,small
P238,0.0,0.35,small
P239,1.0,0.5,negligible
P24,0.0,1.0,large
P240,0.34,0.48,negligible
P241,0.0,0.35,small
P243,0.01,0.37,small
P244,0.0,0.35,small
P245,0.0,1.0,large
P247,0.02,0.39,small
P249,0.0,0.89,large
P25,0.0,1.0,large
P250,0.04,0.41,small
P251,0.0,0.28,medium
P252,1.0,0.5,negligible
P253,0.0,0.96,large
P256,0.0,0.33,medium
P258,0.02,0.39,small
P26,0.01,0.37,small
P260,0.0,0.22,large
P261,0.04,0.41,small
P262,0.0,0.76,large
P263,0.34,0.48,negligible
P264,0.02,0.39,small
P265,1.0,0.5,negligible
P266,0.0,0.98,large
P267,0.02,0.39,small
P268,1.0,0.5,negligible
P269,0.01,0.37,small
P270,0.01,0.37,small
P271,0.0,0.35,small
P272,0.04,0.41,small
P273,0.17,0.61,small
P274,0.0,0.24,large
P275,0.01,0.37,small
P276,0.0,0.35,small
P277,0.02,0.39,small
P278,0.34,0.48,negligible
P279,1.0,0.5,negligible
P28,1.0,0.5,negligible
P281,0.01,0.37,small
P282,0.01,0.37,small
P283,0.01,0.37,small
P284,0.08,0.43,negligible
P285,0.0,0.35,small
P286,0.08,0.43,negligible
P288,0.0,0.35,small
P289,0.16,0.46,negligible
P29,0.02,0.39,small
P291,0.65,0.52,negligible
P292,0.04,0.41,small
P293,0.0,0.98,large
P295,0.0,1.0,large
P296,0.01,0.37,small
P297,1.0,0.5,negligible
P298,1.0,0.5,negligible
P299,0.16,0.46,negligible
P3,0.08,0.43,negligible
P30,0.0,0.89,large
P300,0.08,0.43,negligible
P301,0.34,0.48,negligible
P302,0.01,0.37,small
P303,0.02,0.39,small
P305,0.02,0.39,small
P306,0.0,0.28,medium
P308,1.0,0.5,negligible
P309,0.0,0.35,small
P31,0.0,0.35,small
P310,0.34,0.48,negligible
P311,0.0,0.93,large
P312,0.0,0.96,large
P314,1.0,0.5,negligible
P315,0.34,0.48,negligible
P316,0.08,0.43,negligible
P319,0.0,1.0,large
P32,0.04,0.41,small
P320,0.04,0.41,small
P321,0.0,0.8,large
P322,0.08,0.43,negligible
P324,0.34,0.48,negligible
P325,0.0,0.87,large
P327,0.34,0.48,negligible
P33,0.08,0.43,negligible
P330,0.01,0.37,small
P331,0.0,0.93,large
P332,0.04,0.41,small
P333,0.16,0.46,negligible
P335,0.16,0.46,negligible
P336,0.04,0.41,small
P337,0.0,0.35,small
P338,0.0,0.33,medium
P339,0.16,0.46,negligible
P34,0.04,0.41,small
P340,1.0,0.5,negligible
P341,0.16,0.46,negligible
P342,0.16,0.46,negligible
P343,0.17,0.57,negligible
P344,0.0,0.35,small
P345,0.0,1.0,large
P346,0.04,0.41,small
P347,0.08,0.43,negligible
P348,0.0,0.35,small
P35,0.34,0.48,negligible
P351,0.02,0.39,small
P352,0.0,0.24,large
P353,0.16,0.46,negligible
P354,0.02,0.39,small
P355,0.04,0.41,small
P356,0.02,0.39,small
P357,0.0,0.33,medium
P358,0.02,0.39,small
