,Avg Filter HL,Avg Noise HL,Improv HL
P0,0.07434654472463693,0.12018730566124342,38.14
P2,0.04528173007587739,0.2502959847516856,81.91
P3,0.02267999470656473,0.08624070500413115,73.7
P4,0.017073688162542327,0.2709734377473509,93.7
P5,0.015803099534758617,0.18939117601485228,91.66
P6,0.023421786686053464,0.14466124351615625,83.81
P7,0.034327787172062786,0.13863685053683392,75.24
P8,0.13082918842470645,0.348099457148419,62.42
P9,0.042573695058379366,0.13337715084035925,68.08
P10,0.06121663716285377,0.30437183797367984,79.89
P11,0.0717487618088576,0.33245715370003703,78.42
P12,0.009239785705386335,0.24536212862148665,96.23
P13,0.00966402705256874,0.2319221701390254,95.83
P14,0.040323371344303714,0.16007891170750282,74.81
P16,0.1413893744329933,0.1371955428808821,-3.06
P17,0.01247821391467688,0.2235823078532928,94.42
P18,0.0862176899625326,0.2767571316118897,68.85
P19,0.013207618144534639,0.17366440911066167,92.39
P20,0.037166387271124694,0.048006407877332305,22.58
P21,0.0382287647089054,0.03764464212226623,-1.55
P22,0.030192014428374544,0.09651018861593061,68.72
P23,0.040429009544275106,0.05113202566150192,20.93
P24,0.019091053594761667,0.15776526362121543,87.9
P25,0.07702841695422799,0.0835568533199192,7.81
P26,0.07105410251315926,0.3197571385551331,77.78
P28,0.03603744549862095,0.038709349609510495,6.9
P29,0.02495028116120019,0.1367171972391514,81.75
P30,0.02723555641526508,0.12668102911908577,78.5
P31,0.03909490566594239,0.1911212019141292,79.54
P32,0.027462868752923735,0.21132695906149387,87.0
P33,0.019244597501420924,0.22834597344149235,91.57
P34,0.028688168249777265,0.1007155100790182,71.52
P35,0.015308677905165885,0.19047960184559323,91.96
P36,0.08847558561464176,0.2637448152953122,66.45
P38,0.09358619236485025,0.24782956435039,62.24
P39,0.06859204608977051,0.10596054972537426,35.27
P40,0.08621096529815916,0.09662432231107014,10.78
P41,0.04686699378757901,0.38470482186553906,87.82
P42,0.010224348836815621,0.1556370049415105,93.43
P43,0.016112419098029466,0.1800550116570087,91.05
P44,0.06056357162142029,0.3310939839795472,81.71
P45,0.07533651597368195,0.32544482438672384,76.85
P46,0.05946058950446059,0.13299335029358242,55.29
P48,0.030798798552522346,0.04827678214897528,36.2
P49,0.05936043277714169,0.18352850627373601,67.66
P50,0.057954919927454586,0.24461346015534294,76.31
P52,0.09013463567161983,0.3435027082321797,73.76
P55,0.00942283305028445,0.19320626543226216,95.12
P56,0.1099208259435435,0.21356703254897083,48.53
P57,0.045605802552459475,0.04979378066937765,8.41
P59,0.014999750132763612,0.20265313345607633,92.6
P60,0.03428029676044885,0.14681501299768487,76.65
P62,0.03142580303944777,0.1605073509771063,80.42
P63,0.08330811405407498,0.28383765844343106,70.65
P64,0.03829846844724599,0.3129176800592793,87.76
P65,0.019321717631258437,0.19091471992432643,89.88
P67,0.014921559784141036,0.20084091858447248,92.57
P68,0.011452319112548471,0.19324041504572687,94.07
P71,0.02272081285564328,0.20597641096140526,88.97
P72,0.08630166562145498,0.1387907083508439,37.82
P74,0.07522525023443156,0.33642758539554374,77.64
P77,0.03507541813247025,0.19674604368859455,82.17
P79,0.024683635451033744,0.14197892003400703,82.61
P80,0.017142788488908083,0.18667714000126,90.82
P82,0.0028857752603470006,0.19898065113012944,98.55
P83,0.09539843417773669,0.0807342389502978,-18.16
P85,0.06546927737018027,0.37539071451023553,82.56
P86,0.029958499234960568,0.15237213029678506,80.34
P87,0.05459075302378452,0.3245299099494973,83.18
P89,0.06378081645475052,0.15392919677357117,58.56
P91,0.0237734170075115,0.17704986924865204,86.57
P92,0.11854402645131447,0.30278553266007313,60.85
P93,0.007321661003377778,0.22649864192182886,96.77
P94,0.020975382054606296,0.17903659699825622,88.28
P95,0.053520027508301087,0.26238897228847863,79.6
P96,0.04775740232711568,0.34187559545650104,86.03
P98,0.10688237694011661,0.16794421573499801,36.36
P99,0.04557404408584552,0.2150356519297658,78.81
P100,0.028101223844693834,0.12724315705786884,77.92
P101,0.054771406179800884,0.11460501997596877,52.21
P102,0.06676159026188622,0.29369507404501594,77.27
P103,0.013760909260648116,0.16221143309167316,91.52
P104,0.03126971980798097,0.10100308733325594,69.04
P105,0.02988344411149159,0.35616144620869544,91.61
P106,0.002424739451616749,0.22291455917755346,98.91
P107,0.0432489138368538,0.051255334226090306,15.62
P109,0.155926373173186,0.42029301070023173,62.9
P111,0.022504872363115,0.1427466779855801,84.23
P112,0.028322078490114696,0.15759095135364093,82.03
P113,0.025872968722930482,0.1458482297727225,82.26
P114,0.04807162198992369,0.2151974628238609,77.66
P115,0.042407370663893565,0.055482636894583395,23.57
P116,0.04192721471660451,0.05554525928222356,24.52
P117,0.006479659473586082,0.21721337157440693,97.02
P118,0.0038320279233913144,0.23780511412104566,98.39
P119,0.07707573033950617,0.2574682390642818,70.06
P120,0.01883879783427173,0.21593727820935746,91.28
P122,0.05075695505178381,0.06988320086523882,27.37
P123,0.03833470694851838,0.22203056040448726,82.73
P124,0.030468883597977635,0.15636390834459643,80.51
P125,0.039489142732414606,0.25782186441315885,84.68
P127,0.013156503950252012,0.1885440870608894,93.02
P128,0.00943666362549697,0.18272338501180366,94.84
P129,0.03893975535262916,0.14140121813497733,72.46
P130,0.06701824106105217,0.12372105034989643,45.83
P131,0.040238686685687676,0.19115076902186642,78.95
P132,0.038504972876044825,0.05144531583823077,25.15
P133,0.022747770487460718,0.29181311249242253,92.2
P134,0.08520131019730112,0.10219597291095601,16.63
P135,0.00994755432327995,0.18666674704889402,94.67
P136,0.037082382312949955,0.2909014593498943,87.25
P137,0.04670270515484059,0.06669985401768172,29.98
P138,0.02252922883922841,0.08455350742922368,73.36
P139,0.03209789127574456,0.13205517319104107,75.69
P141,0.015994049322804304,0.19007236984222867,91.59
P144,0.13263639406696437,0.2895547468181259,54.19
P145,0.03594506324984774,0.19850033112493135,81.89
P146,0.07585302042676226,0.08187856603351715,7.36
P147,0.020418545106216993,0.14351033694429444,85.77
P148,0.016238605675321816,0.19939665036443105,91.86
P149,0.0019559888323741064,0.23145732307934896,99.15
P150,0.031076286941181065,0.21860905484988152,85.78
P152,0.0378735892166933,0.12466778827903896,69.62
P153,0.09903672504679452,0.3512980995005611,71.81
P154,0.03402823720822361,0.14791650326510072,76.99
P155,0.05750734021523558,0.08925575748511724,35.57
P156,0.047484807619971224,0.2266773291298554,79.05
P157,0.021506758200483304,0.27701757744753674,92.24
P158,0.041717428979689504,0.36499827526377826,88.57
P159,0.022779430074173462,0.24941436778535525,90.87
P160,0.02748556501914818,0.16821478560714806,83.66
P161,0.008476907421267601,0.3603975145182598,97.65
P162,0.06551960301108868,0.26131951763304406,74.93
P163,0.057734339626860934,0.06826719729573169,15.43
P164,0.020744934484397855,0.12858281089416057,83.87
P167,0.03396440344068646,0.1343134984448637,74.71
P168,0.023024271142280447,0.35309433586317496,93.48
P169,0.002192366124546277,0.23584117058142942,99.07
P170,0.024642295616631487,0.1907150754783223,87.08
P172,0.026950280301705053,0.2382258226524491,88.69
P173,0.0930175280447512,0.3300647357623512,71.82
P174,0.01809718046142037,0.16773058071972832,89.21
P175,0.027044257161529858,0.34136257259370056,92.08
P176,0.04979205483504688,0.21967863919869005,77.33
P177,0.00941282997857451,0.25848506363828017,96.36
P178,0.013717119718611004,0.16709459903276316,91.79
P181,0.010512918292308599,0.18298218883790754,94.25
P182,0.016011396223392923,0.18657782061636374,91.42
P183,0.02729756385186376,0.23641054883332982,88.45
P184,0.038184458949426216,0.2647462158402655,85.58
P186,0.08861075686155048,0.1647884484086574,46.23
P187,0.08279218771599321,0.28138715218068133,70.58
P188,0.03113922182679437,0.1603037496948633,80.57
P189,0.12229277437632795,0.21914711414800966,44.2
P191,0.017813984327829907,0.2354349265182773,92.43
P193,0.03962698545373759,0.32347269992147965,87.75
P194,0.024019115478465393,0.31511555557291393,92.38
