Program,Pvalue,Avalue,Mag
P0,0.0,0.96,large
P10,0.01,0.37,small
P100,0.34,0.48,negligible
P101,0.34,0.48,negligible
P102,0.09,0.41,small
P103,0.34,0.48,negligible
P104,0.04,0.41,small
P105,0.0,0.35,small
P106,0.34,0.48,negligible
P107,0.0,1.0,large
P109,0.0,0.35,small
P11,0.0,0.78,large
P111,0.0,1.0,large
P112,0.34,0.48,negligible
P113,0.08,0.43,negligible
P114,0.01,0.37,small
P115,0.0,1.0,large
P116,1.0,0.5,negligible
P117,0.16,0.46,negligible
P118,0.0,0.35,small
P119,0.01,0.37,small
P12,0.02,0.39,small
P120,1.0,0.5,negligible
P122,1.0,0.5,negligible
P123,0.0,0.78,large
P124,1.0,0.5,negligible
P125,0.0,0.33,medium
P127,0.08,0.43,negligible
P128,0.34,0.48,negligible
P129,1.0,0.5,negligible
P13,0.16,0.46,negligible
P130,0.08,0.43,negligible
P131,0.01,0.37,small
P132,0.0,1.0,large
P133,0.0,0.35,small
P134,0.0,1.0,large
P135,0.02,0.39,small
P136,0.1,0.63,small
P137,0.0,1.0,large
P138,1.0,0.5,negligible
P139,0.34,0.48,negligible
P14,0.0,0.35,small
P141,0.34,0.48,negligible
P144,0.0,0.33,medium
P145,0.34,0.48,negligible
P146,0.0,1.0,large
P147,1.0,0.5,negligible
P148,1.0,0.5,negligible
P149,0.34,0.48,negligible
P150,0.01,0.37,small
P152,0.0,0.83,large
P153,0.0,0.24,large
P154,0.08,0.43,negligible
P155,0.0,1.0,large
P156,0.08,0.43,negligible
P157,0.08,0.43,negligible
P158,0.01,0.37,small
P159,0.08,0.43,negligible
P16,0.16,0.46,negligible
P160,0.34,0.48,negligible
P161,0.01,0.37,small
P162,0.08,0.43,negligible
P163,0.0,1.0,large
P164,0.16,0.46,negligible
P167,0.0,1.0,large
P168,0.0,0.35,small
P169,0.16,0.46,negligible
P17,0.0,0.85,large
P170,0.0,0.83,large
P172,0.08,0.43,negligible
P173,0.0,0.35,small
P174,0.34,0.48,negligible
P175,0.01,0.37,small
P176,0.01,0.37,small
P177,0.34,0.48,negligible
P178,1.0,0.5,negligible
P18,0.0,0.33,medium
P181,0.04,0.41,small
P182,0.01,0.37,small
P183,0.04,0.41,small
P184,0.0,0.35,small
P186,0.08,0.43,negligible
P187,0.01,0.37,small
P188,0.0,0.8,large
P189,0.0,0.93,large
P19,0.34,0.48,negligible
P191,0.02,0.39,small
P193,0.08,0.43,negligible
P194,0.04,0.41,small
P195,0.0,0.35,small
P196,0.0,0.33,medium
P197,0.0,0.35,small
P198,1.0,0.5,negligible
P199,0.0,0.35,small
P2,0.0,0.87,large
P20,1.0,0.5,negligible
P200,0.0,1.0,large
P201,0.0,0.35,small
P202,0.08,0.43,negligible
P203,0.0,0.8,large
P204,0.02,0.39,small
P205,1.0,0.5,negligible
P207,0.0,0.28,medium
P209,0.02,0.39,small
P21,1.0,0.5,negligible
P210,0.16,0.46,negligible
P211,0.0,0.87,large
P212,0.01,0.37,small
P213,0.34,0.48,negligible
P214,1.0,0.5,negligible
P216,1.0,0.5,negligible
P218,0.0,0.87,large
P219,0.0,1.0,large
P22,0.34,0.48,negligible
P220,0.0,0.83,large
P224,1.0,0.5,negligible
P225,0.34,0.48,negligible
P226,0.0,0.35,small
P227,0.08,0.43,negligible
P228,0.01,0.37,small
P229,0.16,0.46,negligible
P23,0.0,1.0,large
P230,0.34,0.48,negligible
P231,0.02,0.39,small
P233,0.04,0.41,small
P234,0.04,0.41,small
P235,0.04,0.41,small
P237,0.16,0.46,negligible
P238,0.01,0.37,small
P239,1.0,0.5,negligible
P24,0.0,1.0,large
P240,0.34,0.48,negligible
P241,0.0,0.33,medium
P243,0.04,0.41,small
P244,0.01,0.37,small
P245,1.0,0.5,negligible
P247,0.08,0.43,negligible
P249,0.0,0.83,large
P25,0.0,1.0,large
P250,0.16,0.46,negligible
P251,0.08,0.43,negligible
P252,1.0,0.5,negligible
P253,0.0,0.96,large
P256,0.0,0.33,medium
P258,0.02,0.39,small
P26,0.02,0.39,small
P260,0.0,0.28,medium
P261,0.02,0.39,small
P262,0.0,0.78,large
P263,0.16,0.46,negligible
P264,0.01,0.37,small
P265,0.02,0.39,small
P266,0.34,0.48,negligible
P267,0.16,0.46,negligible
P268,0.0,1.0,large
P269,0.0,0.35,small
P270,0.01,0.37,small
P271,0.34,0.48,negligible
P272,0.04,0.41,small
P273,0.0,0.8,large
P274,0.02,0.39,small
P275,0.02,0.39,small
P276,0.34,0.48,negligible
P277,0.02,0.39,small
P278,0.0,0.98,large
P279,0.02,0.39,small
P28,1.0,0.5,negligible
P281,0.01,0.37,small
P282,0.0,0.35,small
P283,0.0,0.33,medium
P284,0.08,0.43,negligible
P285,0.04,0.41,small
P286,0.01,0.7,medium
P288,0.01,0.37,small
P289,0.02,0.39,small
P29,0.0,0.98,large
P291,1.0,0.5,negligible
P292,0.02,0.39,small
P293,0.0,0.78,large
P295,0.0,1.0,large
P296,0.34,0.48,negligible
P297,1.0,0.5,negligible
P298,1.0,0.5,negligible
P299,0.01,0.37,small
P3,0.08,0.43,negligible
P30,0.0,0.98,large
P300,0.34,0.48,negligible
P301,0.08,0.43,negligible
P302,0.02,0.39,small
P303,0.0,0.35,small
P305,0.0,0.83,large
P306,0.02,0.39,small
P308,1.0,0.5,negligible
P309,0.02,0.39,small
P31,0.02,0.39,small
P310,0.02,0.39,small
P311,0.0,0.33,medium
P312,0.08,0.43,negligible
P314,0.08,0.57,negligible
P315,0.34,0.48,negligible
P316,0.08,0.43,negligible
P319,0.0,1.0,large
P32,0.08,0.43,negligible
P320,0.08,0.43,negligible
P321,0.04,0.41,small
P322,0.02,0.39,small
P324,0.0,0.98,large
P325,0.59,0.54,negligible
P327,0.34,0.48,negligible
P33,0.04,0.41,small
P330,0.34,0.48,negligible
P331,0.16,0.46,negligible
P332,0.01,0.37,small
P333,1.0,0.5,negligible
P335,0.16,0.46,negligible
P336,0.34,0.48,negligible
P337,0.02,0.39,small
P338,0.0,0.33,medium
P339,0.16,0.46,negligible
P34,0.0,0.91,large
P340,1.0,0.5,negligible
P341,0.16,0.46,negligible
P342,1.0,0.5,negligible
P343,0.08,0.43,negligible
P344,0.02,0.39,small
P345,0.0,1.0,large
P346,0.34,0.48,negligible
