Program,Pvalue,Avalue,Mag
P0,1.0,0.5,negligible
P10,0.02,0.39,small
P100,0.34,0.48,negligible
P101,1.0,0.5,negligible
P102,0.02,0.39,small
P103,0.34,0.48,negligible
P104,1.0,0.5,negligible
P105,0.0,0.35,small
P106,0.34,0.48,negligible
P107,1.0,0.5,negligible
P109,0.01,0.37,small
P11,0.02,0.39,small
P111,0.34,0.48,negligible
P112,0.34,0.48,negligible
P113,1.0,0.5,negligible
P114,0.34,0.48,negligible
P115,1.0,0.5,negligible
P116,1.0,0.5,negligible
P117,0.34,0.48,negligible
P118,0.34,0.48,negligible
P119,0.02,0.39,small
P12,0.34,0.48,negligible
P120,1.0,0.5,negligible
P122,1.0,0.5,negligible
P123,0.08,0.43,negligible
P124,1.0,0.5,negligible
P125,0.0,0.35,small
P127,0.34,0.48,negligible
P128,0.34,0.48,negligible
P129,0.34,0.48,negligible
P13,0.34,0.48,negligible
P130,0.34,0.48,negligible
P131,0.08,0.43,negligible
P132,1.0,0.5,negligible
P133,0.02,0.39,small
P134,1.0,0.5,negligible
P135,0.34,0.48,negligible
P136,0.08,0.43,negligible
P137,1.0,0.5,negligible
P138,1.0,0.5,negligible
P139,0.34,0.48,negligible
P14,1.0,0.5,negligible
P141,0.34,0.48,negligible
P144,0.0,0.35,small
P145,1.0,0.5,negligible
P146,1.0,0.5,negligible
P147,1.0,0.5,negligible
P148,1.0,0.5,negligible
P149,0.34,0.48,negligible
P150,1.0,0.5,negligible
P152,0.34,0.48,negligible
P153,0.0,0.28,medium
P154,0.34,0.48,negligible
P155,1.0,0.5,negligible
P156,0.08,0.43,negligible
P157,0.04,0.41,small
P158,0.0,0.33,medium
P159,1.0,0.5,negligible
P16,1.0,0.5,negligible
P160,0.16,0.46,negligible
P161,0.02,0.39,small
P162,0.02,0.39,small
P163,1.0,0.5,negligible
P164,0.34,0.48,negligible
P167,0.34,0.48,negligible
P168,0.01,0.37,small
P169,0.16,0.46,negligible
P17,0.34,0.48,negligible
P170,0.34,0.48,negligible
P172,0.34,0.48,negligible
P173,0.02,0.39,small
P174,0.34,0.48,negligible
P175,0.04,0.41,small
P176,0.08,0.43,negligible
P177,0.34,0.48,negligible
P178,0.34,0.48,negligible
P18,0.01,0.37,small
P181,0.34,0.48,negligible
P182,0.34,0.48,negligible
P183,0.04,0.41,small
P184,0.04,0.41,small
P186,0.34,0.48,negligible
P187,0.02,0.39,small
P188,0.34,0.48,negligible
P189,0.16,0.46,negligible
P19,0.34,0.48,negligible
P191,0.08,0.43,negligible
P193,0.02,0.39,small
P194,0.01,0.37,small
P195,0.04,0.41,small
P196,0.01,0.37,small
P197,0.0,0.33,medium
P198,1.0,0.5,negligible
P199,0.02,0.39,small
P2,0.08,0.43,negligible
P20,1.0,0.5,negligible
P200,1.0,0.5,negligible
P201,0.01,0.37,small
P202,0.34,0.48,negligible
P203,0.04,0.41,small
P204,0.0,0.33,medium
P205,1.0,0.5,negligible
P207,0.0,0.35,small
P209,0.04,0.41,small
P21,1.0,0.5,negligible
P210,0.34,0.48,negligible
P211,0.16,0.46,negligible
P212,0.0,0.35,small
P213,0.34,0.48,negligible
P214,1.0,0.5,negligible
P216,1.0,0.5,negligible
P218,0.34,0.48,negligible
P219,1.0,0.5,negligible
P22,1.0,0.5,negligible
P220,0.34,0.48,negligible
P224,1.0,0.5,negligible
P225,1.0,0.5,negligible
P226,0.34,0.48,negligible
P227,0.34,0.48,negligible
P228,0.01,0.37,small
P229,1.0,0.5,negligible
P23,1.0,0.5,negligible
P230,1.0,0.5,negligible
P231,1.0,0.5,negligible
P233,1.0,0.5,negligible
P234,0.02,0.39,small
P235,0.34,0.48,negligible
P237,0.34,0.48,negligible
P238,0.0,0.33,medium
