,Avg Filter HL,Avg Noise HL,Improv HL
P0,0.3848732391317536,0.508962445616515,24.38
P2,0.20924744318256683,0.5001305814542921,58.16
P3,0.23843689730973172,0.6328172229797009,62.32
P4,0.2874953576423648,0.6507546763281924,55.82
P5,0.3309477464209424,0.6008529174875529,44.92
P6,0.23300018522918767,0.6170441106084469,62.24
P7,0.40021433354133246,0.6902864095247079,42.02
P8,0.06713063680454144,0.3077855307642357,78.19
P9,0.409553803696585,0.6941648223899898,41.0
P10,0.29884754255092855,0.5549415416673912,46.15
P11,0.2188480454003716,0.5642308344983735,61.21
P12,0.40630048622855636,0.7775862937805194,47.75
P13,0.24983145325974412,0.7389145270130154,66.19
P14,0.3628138862608697,0.7343460699811036,50.59
P16,0.3223198424981775,0.48471717289335764,33.5
P17,0.38978347171233924,0.6722916907132958,42.02
P18,0.38514166589260196,0.5199399915265107,25.93
P19,0.1450142599631231,0.39302712467218737,63.1
P20,0.03520758871205033,0.05555149971477885,36.62
P21,0.037171915536389835,0.05864210542563798,36.61
P22,0.29360397203707167,0.5756812101001071,49.0
P23,0.079551172416968,0.13507121459354923,41.1
P24,0.3304251124513166,0.821288048454064,59.77
P25,0.06388188948888497,0.06693268829500135,4.56
P26,0.4368270959297063,0.5995438398218537,27.14
P28,0.12286568615299101,0.18963270076070254,35.21
P29,0.16075239497743837,0.2732064519794292,41.16
P30,0.4009660738322524,0.6464052057459826,37.97
P31,0.2976570143695638,0.6536071316931441,54.46
P32,0.31578083951349256,0.6428037364932433,50.87
P33,0.36910202225809824,0.5405938147079109,31.72
P34,0.06481983927298071,0.3215084901731472,79.84
P35,0.31429912994002007,0.5576132368636524,43.63
P36,0.022576800030064206,0.23751186944961786,90.49
P38,0.08745067335145591,0.2369237888004307,63.09
P39,0.20245212867863274,0.20750915286916755,2.44
P40,0.4727933942780588,0.47564755520131197,0.6
P41,0.3364691185042569,0.8467396119975487,60.26
P42,0.25376583410947573,0.5941848793222544,57.29
P43,0.29094172504065136,0.6278786677115942,53.66
P44,0.2661427220998699,0.615573124972982,56.77
P45,0.4376019404645212,0.6425075656303351,31.89
P46,0.26634159488437587,0.6257016212528874,57.43
P48,0.1817790025656514,0.24317361562855538,25.25
P49,0.35856438613217334,0.6949817614043906,48.41
P50,0.3570309431130951,0.7597124068982078,53.0
P52,0.27967136148859323,0.5810221974660467,51.87
P55,0.27704230059800833,0.647377886334095,57.21
P56,0.4733384048542086,0.5893631446936693,19.69
P57,0.2655572423545193,0.33364002969521284,20.41
P59,0.2744798448997736,0.6475385661095286,57.61
P60,0.28891231063508294,0.6330353951804525,54.36
P62,0.24218122615960389,0.6485227172841271,62.66
P63,0.2634847237289422,0.6239481167975603,57.77
P64,0.01818685561847221,0.27665602191367944,93.43
P65,0.3152809566534548,0.7386029246682771,57.31
P67,0.4083345633697465,0.5641474964174766,27.62
P68,0.014886731331143993,0.21603748071093878,93.11
P71,0.3994359529647661,0.7724155266538538,48.29
P72,0.4450007433276237,0.5413168776524019,17.79
P74,0.4040974090349224,0.7655962179241783,47.22
P77,0.4316144043689319,0.6501395884181668,33.61
P79,0.2713715105327378,0.6507821976831504,58.3
P80,0.2704164668697376,0.7134781853321452,62.1
P82,0.3575255210253547,0.6378392157912358,43.95
P83,0.18689162748937133,0.24080767978172973,22.39
P85,0.34849427903246444,0.7789583850885321,55.26
P86,0.2545911638909644,0.3233764314606762,21.27
