,Avg Filter HL,Avg Noise HL,Improv HL
9q-square,0.64,0.54,-17.65
Almaden,0.31,0.22,-41.16
Boeblingen,0.3,0.21,-42.37
Brooklyn,0.26,0.17,-56.27
Cairo,0.25,0.15,-66.96
Cambridge,0.4,0.31,-27.99
CambridgeAlternativeBasis,0.4,0.31,-27.98
Casablanca,0.26,0.17,-55.22
Guadalupe,0.26,0.16,-60.43
Hanoi,0.24,0.14,-69.29
Jakarta,0.26,0.17,-55.33
Johannesburg,0.35,0.26,-32.66
Kolkata,0.23,0.13,-80.72
Lagos,0.22,0.12,-87.59
Manhattan,0.36,0.27,-35.49
Montreal,0.25,0.15,-66.51
Mumbai,0.27,0.17,-54.01
Nairobi,0.26,0.17,-56.0
Paris,0.27,0.17,-54.87
Rochester,0.49,0.4,-21.24
Singapore,0.33,0.24,-35.51
Sydney,0.28,0.18,-51.26
Toronto,0.39,0.3,-29.82
Washington,0.26,0.16,-60.03
rainbow,0.68,0.58,-16.71
weber,0.69,0.59,-16.34
