,Avg Filter HL,Avg Noise HL,Improv HL
P0,0.2751916050345112,0.17235073391212483,-59.67
P2,0.37093809702654096,0.28742812430009085,-29.05
P3,0.25980103268283794,0.14849995273843902,-74.95
P4,0.39599784050750814,0.31378025141696975,-26.2
P5,0.32899942438883084,0.23890929011929793,-37.71
P6,0.2941166427259396,0.1987416442685297,-47.99
P7,0.3025816408421225,0.20432556813220712,-48.09
P8,0.4622219298383617,0.379417949990648,-21.82
P9,0.2954987053665677,0.19578671690599905,-50.93
P10,0.4262935954696043,0.34129017574925063,-24.91
P11,0.45808678998137936,0.373301241906244,-22.71
P12,0.3829208404137204,0.2971685979902323,-28.86
P13,0.36968917071936425,0.283970756111265,-30.19
P14,0.31843358029761554,0.22362294590471168,-42.4
P16,0.2875099010524592,0.18516857662834732,-55.27
P17,0.37015590073672694,0.28282604707863296,-30.88
P18,0.4040570579025656,0.3203293030153906,-26.14
P19,0.31315762309663014,0.22210031602308494,-41.0
P20,0.1856429662610439,0.05465719948483901,-239.65
P21,0.1803961569164853,0.042966899701358925,-319.85
P22,0.26791031797733234,0.15924336164944888,-68.24
P23,0.21204181080358112,0.0852458271000205,-148.74
P24,0.3221601443739249,0.22575673725238013,-42.7
P25,0.2019994366352155,0.0866782024858163,-133.05
P26,0.44365961228628886,0.3590073068301205,-23.58
P28,0.19127119634270706,0.0575229092216495,-232.51
P29,0.2736718969919809,0.17620682444330107,-55.31
P30,0.29227109388535316,0.18678465469198283,-56.47
P31,0.33721652514551476,0.2473413935263009,-36.34
P32,0.3599145796717042,0.2703456470489164,-33.13
P33,0.36160482034610986,0.27515219063952856,-31.42
P34,0.24289175072325161,0.13609599567725744,-78.47
P35,0.3351927446325931,0.24419068281920575,-37.27
P36,0.3609259940035051,0.27867469930001565,-29.52
P38,0.3630206318469782,0.2783023289165572,-30.44
P39,0.22412073078236772,0.11693683883076741,-91.66
P40,0.25867976625060535,0.14844658546131523,-74.26
P41,0.5219869508587409,0.4366974374839627,-19.53
P42,0.30219550763569253,0.20951014503987336,-44.24
P43,0.3324464165320258,0.24151575603313197,-37.65
P44,0.4452613546366428,0.3637578232844547,-22.41
P45,0.455843227567076,0.3708751734720633,-22.91
P46,0.29008781575803133,0.19001209352099066,-52.67
P48,0.19405585431798766,0.06547246951196663,-196.39
P49,0.3301799879034823,0.2406302580620774,-37.21
