,Avg Filter HL,Avg Noise HL,Improv HL
P0,0.11256731786473576,0.17235073391212483,34.69
P2,0.07598489627583738,0.28742812430009085,73.56
P3,0.04764271686723869,0.14849995273843902,67.92
P4,0.04648880022699829,0.31378025141696975,85.18
P5,0.050266890118628865,0.23890929011929793,78.96
P6,0.04975049010752566,0.1987416442685297,74.97
P7,0.07310140930249086,0.20432556813220712,64.22
P8,0.15223658831712444,0.379417949990648,59.88
P9,0.08385580013379676,0.19578671690599905,57.17
P10,0.09246649597582636,0.34129017574925063,72.91
P11,0.10205647785317207,0.373301241906244,72.66
P12,0.04698472778640698,0.2971685979902323,84.19
P13,0.04138305920538598,0.283970756111265,85.43
P14,0.07971000655117834,0.22362294590471168,64.36
P16,0.16908484414392325,0.18516857662834732,8.69
P17,0.052306270188702375,0.28282604707863296,81.51
P18,0.12166419233442313,0.3203293030153906,62.02
P19,0.04820173494990279,0.22210031602308494,78.3
P20,0.03686938777762506,0.05465719948483901,32.54
P21,0.03827288367884905,0.042966899701358925,10.92
P22,0.06388783668320921,0.15924336164944888,59.88
P23,0.068471195604776,0.0852458271000205,19.68
P24,0.05880824902085313,0.22575673725238013,73.95
P25,0.07956643565857452,0.0866782024858163,8.2
P26,0.11126214788593226,0.3590073068301205,69.01
P28,0.0474353678782281,0.0575229092216495,17.54
P29,0.05241501415397823,0.17620682444330107,70.25
P30,0.06825785735564041,0.18678465469198283,63.46
P31,0.06747512936047541,0.2473413935263009,72.72
P32,0.06297618689983354,0.2703456470489164,76.71
P33,0.05788170854038566,0.27515219063952856,78.96
P34,0.03926828375423695,0.13609599567725744,71.15
P35,0.04969707922420779,0.24419068281920575,79.65
P36,0.09643901853069882,0.27867469930001565,65.39
P38,0.10922265401851174,0.2783023289165572,60.75
P39,0.09329496744132994,0.11693683883076741,20.22
P40,0.13624639026548804,0.14844658546131523,8.22
P41,0.08333590915487385,0.4366974374839627,80.92
P42,0.038452015538642,0.20951014503987336,81.65
P43,0.05174092645067068,0.24151575603313197,78.58
P44,0.08346137265521023,0.3637578232844547,77.06
P45,0.1052456350385024,0.3708751734720633,71.62
P46,0.08303640488492135,0.19001209352099066,56.3
P48,0.04817986473521449,0.06547246951196663,26.41
P49,0.09164866595271505,0.2406302580620774,61.91
P50,0.09270065539121525,0.30482874440898367,69.59
P52,0.11381066315043763,0.3714902195871126,69.36
P55,0.019673867464047166,0.22022845177612,91.07
P56,0.15112777144718018,0.2540477808153248,40.51
P57,0.07236809619997987,0.08125345933007931,10.94
P59,0.04576452572145821,0.25667378662381046,82.17
P60,0.05941798010501569,0.19981552667493424,70.26
P62,0.05358954168325333,0.21631673841977064,75.23
P63,0.1072917007265421,0.32285406986806103,66.77
P64,0.06325358998579701,0.33202350915656503,80.95
P65,0.05487102345905162,0.24165030161431458,77.29
P67,0.06384040150089895,0.2583805960965138,75.29
P68,0.0332250977993495,0.23309347320871557,85.75
P71,0.07028650626319832,0.2709385243549748,74.06
P72,0.12592892620769197,0.18258044129567425,31.03
P74,0.11463447242878283,0.3855871068414893,70.27
P77,0.08123928795827282,0.26028757689854987,68.79
P79,0.06599821491302868,0.2003196239631912,67.05
P80,0.045567012459764765,0.2388768907530968,80.92
P82,0.04482912487872203,0.25544074412096845,82.45
P83,0.10445175091593908,0.09833240347057091,-6.22
P85,0.1034329132809594,0.4213416114540281,75.45
P86,0.059866135085798626,0.19140209738785935,68.72
P87,0.08203530401911571,0.3535621076480681,76.8
P89,0.10526678642515244,0.2030436277287368,48.16
P91,0.06415660076235971,0.23455909002894224,72.65
P92,0.1558318850937649,0.34410810415671944,54.71
P93,0.029032724986973353,0.25707798805069415,88.71
P94,0.03803791751469786,0.22099273244165862,82.79
P95,0.07665402714569743,0.29283046314191,73.82
P96,0.07321583271572096,0.37139467666113885,80.29
P98,0.15173717005588677,0.21588280673989654,29.71
P99,0.07746495833874241,0.26462941349690006,70.73
P100,0.04808036406684654,0.183327307309509,73.77
P101,0.07047426984410712,0.15532274125925394,54.63
P102,0.08823599930494144,0.32428701020658857,72.79
P103,0.050223809667195224,0.22161582218522777,77.34
P104,0.04480926904811911,0.13363298843031346,66.47
P105,0.07344557375961663,0.391994430637348,81.26
P106,0.03948941613581924,0.2662547816350049,85.17
P107,0.05520676685898282,0.06805099005244766,18.87
P109,0.18323438441343437,0.4451000574910235,58.83
P111,0.042144492272808726,0.19500726870192192,78.39
P112,0.04801685905964164,0.20168384753953744,76.19
P113,0.04696624958151247,0.18125047677703238,74.09
P114,0.07786719979591925,0.2566610031332493,69.66
P115,0.07350778201243606,0.08911367350229343,17.51
P116,0.08077105171353695,0.10256299474319637,21.25
P117,0.042749121535752464,0.26765689031279805,84.03
P118,0.041740384934924935,0.30714550374269306,86.41
P119,0.1016511058266572,0.2984453386140959,65.94
P120,0.05553408952693254,0.2643349615518933,78.99
P122,0.07680756596281171,0.1057643666054152,27.38
P123,0.06637939826893341,0.2695112823962465,75.37
P124,0.045959871011928805,0.20623610099057416,77.71
P125,0.06933136697939025,0.3024691127249082,77.08
P127,0.05286950470145378,0.25332569989866593,79.13
P128,0.039361498451169215,0.2254051791569063,82.54
P129,0.0831896682132594,0.20306273138325193,59.03
P130,0.0867538911775878,0.14274727145376745,39.23
P131,0.08473246791057118,0.2480338941622881,65.84
P132,0.03885619316189215,0.0522514639254951,25.64
P133,0.04570605466498774,0.3327116280193714,86.26
P134,0.10456221417754794,0.1267149363262966,17.48
P135,0.04161844738488644,0.2464928393055193,83.12
P136,0.07342775718633897,0.3484071892028887,78.92
P137,0.05539062305074896,0.07774523395442363,28.75
P138,0.02228560112885938,0.09468112131973115,76.46
P139,0.06075481455869049,0.18326458586096925,66.85
P141,0.058255914723607284,0.2506521945678339,76.76
P144,0.1661195856483363,0.3221082722922209,48.43
P145,0.08935813810248401,0.2581770591160629,65.39
P146,0.08327452052663263,0.09028812519407256,7.77
P147,0.04009256687532381,0.18776686117972907,78.65
P148,0.04966096296811032,0.2521895661163295,80.31
P149,0.04907874998987227,0.2983814045175021,83.55
P150,0.07009360265672851,0.2772837705250598,74.72
P152,0.052330190434952545,0.1517551225259762,65.52
P153,0.11618590468794715,0.3677624602764216,68.41
P154,0.07331412055892708,0.20377667074640488,64.02
P155,0.09410607233161626,0.12711206581286416,25.97
P156,0.053035884690486326,0.2384880622199378,77.76
P157,0.05631393248353779,0.32712490350816903,82.79
P158,0.07984891927600625,0.4101899223521545,80.53
P159,0.07065670105602165,0.3057616855473106,76.89
P160,0.06289944803723738,0.221619690821137,71.62
P161,0.05703894377057009,0.40800337880134063,86.02
P162,0.08686256250099778,0.3036820439396006,71.4
P163,0.06966930812349505,0.08242843050915968,15.48
P164,0.038279297258735655,0.179109388280132,78.63
P167,0.06001099807781741,0.16921446955601677,64.54
P168,0.06690037193909511,0.3912589104701929,82.9
P169,0.04940246716675356,0.2950924324612263,83.26
P170,0.05172156641946702,0.2511748579277725,79.41
P172,0.06976874153591718,0.30137257488773667,76.85
P173,0.12085797132340555,0.36943714916394094,67.29
P174,0.06357381511296975,0.2284102672100365,72.17
P175,0.06580833301901931,0.3876579630301877,83.02
P176,0.06407851836442645,0.251190258623381,74.49
P177,0.021196562966322226,0.2793379215434204,92.41
P178,0.05026295441274095,0.22762093235191425,77.92
P181,0.04375303532792156,0.23963963209640904,81.74
P182,0.06071522900454243,0.24344097963746508,75.06
P183,0.06989695987812478,0.29837825814145735,76.57
P184,0.07174183659547738,0.31231034611746733,77.03
P186,0.12253061400309631,0.21727548741991903,43.61
P187,0.09985783350511676,0.3047970634622399,67.24
P188,0.060530757939781896,0.21322046704263212,71.61
P189,0.16648188164499417,0.25883188578648986,35.68
P191,0.049717138159449996,0.2838080835609576,82.48
P193,0.07570866763161242,0.37358042626904975,79.73
P194,0.06790246323165247,0.3677982667859683,81.54
P195,0.07518705041076658,0.3303482101190366,77.24
P196,0.09690679915797218,0.36320399358557015,73.32
P197,0.11225074555939417,0.4317252790249096,74.0
P198,0.09219988362168685,0.10430639853261035,11.61
P199,0.09506965974941142,0.2861561271812542,66.78
P200,0.11645592626201264,0.1461849504150836,20.34
P201,0.08173616074137352,0.27790027737265777,70.59
P202,0.08558338167681373,0.247391391936075,65.41
P203,0.07603992213348966,0.29704601804639397,74.4
P204,0.08813430162295609,0.39243268835543693,77.54
P205,0.06199820818993572,0.26089984848636105,76.24
P207,0.11368787712319871,0.3147086267339555,63.88
P209,0.07653700218899792,0.3673826816423512,79.17
P210,0.06108942207260258,0.25880061254760134,76.4
P211,0.09019940228895261,0.2582294799572437,65.07
P212,0.12903292597908436,0.4574352951614798,71.79
P213,0.06018099957672905,0.23539914994763797,74.43
P214,0.14100804057939337,0.14247886959297743,1.03
P216,0.03639121780840021,0.03775312822797147,3.61
P218,0.058861045032508726,0.2029206729424067,70.99
P219,0.10851846779757882,0.13315327808452027,18.5
P220,0.05103509543266433,0.18188145372912976,71.94
