Program,Pvalue,Avalue,Mag
P0,0.0,0.34,small
P10,0.0,0.32,medium
P100,0.0,0.87,large
P101,0.01,0.36,small
P102,0.01,0.37,small
P103,0.01,0.38,small
P104,0.16,0.46,negligible
P105,0.0,0.29,medium
P106,0.04,0.42,small
P107,0.0,1.0,large
P109,0.0,0.73,medium
P11,0.0,0.31,medium
P111,0.01,0.38,small
P112,0.04,0.42,small
P113,0.02,0.4,small
P114,0.0,0.88,large
P115,1.0,0.5,negligible
P116,1.0,0.5,negligible
P117,0.02,0.4,small
P118,0.01,0.37,small
P119,0.0,0.73,medium
P12,0.01,0.38,small
P120,0.02,0.4,small
P122,0.0,1.0,large
P123,0.01,0.36,small
P124,0.15,0.44,negligible
P125,0.0,0.35,small
P127,0.0,0.77,large
P128,0.04,0.42,small
P129,0.0,0.35,small
P13,0.04,0.42,small
P130,0.02,0.38,small
P131,0.15,0.44,negligible
P132,0.0,1.0,large
P133,0.0,0.75,large
P134,0.0,1.0,large
P135,0.0,0.35,small
P136,0.0,0.35,small
P137,1.0,0.5,negligible
P138,0.01,0.38,small
P139,0.01,0.38,small
P14,0.0,0.32,medium
P141,0.0,0.87,large
P144,0.0,0.32,medium
P145,0.04,0.42,small
P146,0.0,1.0,large
P147,0.28,0.46,negligible
P148,0.04,0.42,small
P149,0.0,0.33,medium
P150,0.01,0.69,medium
P152,0.04,0.42,small
P153,0.78,0.52,negligible
P154,0.02,0.4,small
P155,0.0,1.0,large
P156,0.01,0.38,small
P157,0.0,0.35,small
P158,0.0,0.33,medium
P159,0.04,0.4,small
P16,0.0,0.83,large
P160,0.08,0.44,negligible
P161,0.0,0.35,small
P162,0.0,0.77,large
P163,1.0,0.5,negligible
P164,0.08,0.44,negligible
P167,0.0,0.92,large
P168,0.0,0.31,medium
P169,0.01,0.37,small
P17,0.4,0.46,negligible
P170,0.01,0.37,small
P172,0.0,0.33,medium
P173,0.0,0.29,medium
P174,0.08,0.44,negligible
P175,0.01,0.37,small
P176,0.01,0.37,small
P177,0.01,0.37,small
P178,0.01,0.37,small
P18,0.0,0.31,medium
P181,0.01,0.36,small
P182,0.0,0.33,medium
P183,0.01,0.37,small
P184,0.0,0.23,large
P186,0.07,0.42,small
P187,0.0,0.9,large
P188,0.0,0.71,medium
P189,0.0,0.92,large
P19,0.0,0.31,medium
P191,0.0,0.33,medium
P193,0.01,0.37,small
P194,0.01,0.38,small
P195,0.01,0.37,small
P196,0.0,0.33,medium
P197,0.01,0.36,small
P198,0.34,0.52,negligible
P199,0.0,0.31,medium
P2,0.0,0.32,medium
P20,1.0,0.5,negligible
P200,0.0,1.0,large
P201,0.04,0.65,small
P202,0.04,0.42,small
P203,0.01,0.37,small
P204,0.0,0.29,medium
P205,0.08,0.44,negligible
P207,0.04,0.42,small
P209,0.02,0.4,small
P21,1.0,0.5,negligible
P210,0.0,0.81,large
P211,0.0,0.9,large
P212,0.0,0.33,medium
P213,0.57,0.48,negligible
P214,0.0,0.94,large
P216,1.0,0.5,negligible
P218,0.0,0.77,large
P219,0.0,1.0,large
P22,0.04,0.42,small
P220,0.0,0.88,large
P224,0.0,1.0,large
P225,0.01,0.37,small
P226,0.0,0.34,small
P227,0.0,0.81,large
P228,0.0,0.35,small
P229,0.29,0.46,negligible
P23,0.0,0.98,large
P230,0.57,0.52,negligible
P231,0.04,0.42,small
P233,0.08,0.42,small
P234,0.0,0.35,small
P235,0.01,0.37,small
P237,0.0,0.35,small
P238,0.0,0.31,medium
P239,1.0,0.5,negligible
P24,0.0,0.88,large
P240,0.04,0.42,small
P241,0.0,0.31,medium
P243,0.0,0.33,medium
P244,0.0,0.31,medium
P245,0.0,1.0,large
P247,0.01,0.36,small
P249,0.0,0.79,large
P25,0.0,1.0,large
P250,0.01,0.37,small
P251,0.0,0.26,large
P252,0.34,0.52,negligible
P253,0.0,0.96,large
P256,0.0,0.29,medium
P258,0.0,0.35,small
P26,0.0,0.34,small
P260,0.0,0.19,large
P261,0.01,0.37,small
P262,0.02,0.68,medium
P263,0.08,0.44,negligible
P264,0.0,0.35,small
P265,0.08,0.44,negligible
P266,0.0,0.88,large
P267,0.01,0.36,small
P268,1.0,0.5,negligible
P269,0.0,0.33,medium
P270,0.0,0.33,medium
P271,0.0,0.33,medium
P272,0.01,0.37,small
P273,0.61,0.54,negligible
P274,0.0,0.21,large
P275,0.0,0.33,medium
P276,0.0,0.31,medium
P277,0.0,0.35,small
P278,0.04,0.42,small
P279,0.16,0.46,negligible
P28,0.34,0.52,negligible
P281,0.0,0.33,medium
P282,0.0,0.33,medium
P283,0.0,0.33,medium
P284,0.01,0.38,small
P285,0.0,0.31,medium
P286,0.04,0.4,small
P288,0.0,0.31,medium
P289,0.04,0.42,small
P29,0.01,0.37,small
P291,0.46,0.46,negligible
P292,0.01,0.37,small
