Program,Pvalue,Avalue,Mag
P0,0.08,0.44,negligible
P10,0.0,0.35,small
P100,0.04,0.42,small
P101,0.08,0.44,negligible
P102,0.0,0.35,small
P103,0.04,0.42,small
P104,0.16,0.46,negligible
P105,0.0,0.31,medium
P106,0.04,0.42,small
P107,1.0,0.5,negligible
P109,0.0,0.35,small
P11,0.0,0.35,small
P111,0.04,0.42,small
P112,0.04,0.42,small
P113,0.16,0.46,negligible
P114,0.04,0.42,small
P115,0.34,0.48,negligible
P116,1.0,0.5,negligible
P117,0.04,0.42,small
P118,0.04,0.42,small
P119,0.0,0.35,small
P12,0.04,0.42,small
P120,0.08,0.44,negligible
P122,1.0,0.5,negligible
P123,0.01,0.38,small
P124,0.08,0.44,negligible
P125,0.0,0.31,medium
P127,0.04,0.42,small
P128,0.04,0.42,small
P129,0.04,0.42,small
P13,0.04,0.42,small
P130,0.04,0.42,small
P131,0.01,0.38,small
P132,1.0,0.5,negligible
P133,0.01,0.37,small
P134,1.0,0.5,negligible
P135,0.04,0.42,small
P136,0.01,0.38,small
P137,1.0,0.5,negligible
P138,1.0,0.5,negligible
P139,0.04,0.42,small
P14,0.08,0.44,negligible
P141,0.04,0.42,small
P144,0.0,0.31,medium
P145,0.08,0.44,negligible
P146,1.0,0.5,negligible
P147,0.08,0.44,negligible
P148,0.08,0.44,negligible
P149,0.04,0.42,small
P150,0.08,0.44,negligible
P152,0.04,0.42,small
P153,0.0,0.27,medium
P154,0.04,0.42,small
P155,1.0,0.5,negligible
P156,0.02,0.4,small
P157,0.01,0.37,small
P158,0.0,0.29,medium
P159,0.08,0.44,negligible
P16,0.08,0.44,negligible
P160,0.04,0.42,small
P161,0.0,0.35,small
P162,0.0,0.35,small
P163,1.0,0.5,negligible
P164,0.04,0.42,small
P167,0.04,0.42,small
P168,0.0,0.33,medium
P169,0.02,0.4,small
P17,0.04,0.42,small
P170,0.04,0.42,small
P172,0.04,0.42,small
P173,0.0,0.35,small
P174,0.04,0.42,small
P175,0.01,0.37,small
P176,0.02,0.4,small
P177,0.04,0.42,small
P178,0.04,0.42,small
P18,0.0,0.33,medium
P181,0.04,0.42,small
P182,0.04,0.42,small
P183,0.01,0.37,small
P184,0.01,0.37,small
P186,0.04,0.42,small
P187,0.0,0.35,small
P188,0.04,0.42,small
P189,0.02,0.4,small
P19,0.04,0.42,small
P191,0.01,0.38,small
P193,0.0,0.35,small
P194,0.0,0.33,medium
P195,0.01,0.37,small
P196,0.0,0.33,medium
P197,0.0,0.29,medium
P198,1.0,0.5,negligible
P199,0.0,0.35,small
P2,0.01,0.38,small
P20,1.0,0.5,negligible
P200,1.0,0.5,negligible
P201,0.0,0.33,medium
P202,0.04,0.42,small
P203,0.01,0.38,small
P204,0.0,0.29,medium
P205,0.08,0.44,negligible
P207,0.0,0.31,medium
P209,0.01,0.37,small
P21,1.0,0.5,negligible
P210,0.04,0.42,small
P211,0.02,0.4,small
P212,0.0,0.31,medium
P213,0.04,0.42,small
P214,0.08,0.44,negligible
P216,1.0,0.5,negligible
P218,0.04,0.42,small
P219,1.0,0.5,negligible
P22,0.08,0.44,negligible
P220,0.04,0.42,small
P224,1.0,0.5,negligible
P225,0.08,0.44,negligible
P226,0.04,0.42,small
P227,0.04,0.42,small
P228,0.0,0.33,medium
P229,0.08,0.44,negligible
P23,1.0,0.5,negligible
P230,0.16,0.46,negligible
P231,0.16,0.46,negligible
P233,1.0,0.5,negligible
P234,0.0,0.35,small
P235,0.04,0.42,small
P237,0.04,0.42,small
P238,0.0,0.29,medium
P239,1.0,0.5,negligible
P24,0.04,0.42,small
P240,0.04,0.42,small
P241,0.0,0.31,medium
P243,0.0,0.35,small
P244,0.08,0.44,negligible
P245,1.0,0.5,negligible
P247,0.01,0.38,small
P249,0.0,0.35,small
P25,1.0,0.5,negligible
P250,0.04,0.42,small
P251,0.0,0.35,small
P252,1.0,0.5,negligible
P253,1.0,0.5,negligible
P256,0.01,0.38,small
P258,0.01,0.38,small
P26,0.0,0.33,medium
P260,0.0,0.29,medium
P261,0.01,0.38,small
P262,0.0,0.33,medium
P263,0.04,0.42,small
P264,0.04,0.42,small
P265,0.04,0.42,small
P266,0.08,0.44,negligible
P267,0.02,0.4,small
P268,1.0,0.5,negligible
P269,0.04,0.42,small
P270,0.01,0.38,small
P271,0.01,0.38,small
P272,0.02,0.4,small
P273,0.0,0.35,small
P274,0.0,0.35,small
P275,0.0,0.33,medium
P276,0.02,0.4,small
P277,0.02,0.4,small
P278,0.04,0.42,small
P279,0.08,0.44,negligible
P28,1.0,0.5,negligible
P281,0.0,0.33,medium
P282,0.04,0.42,small
P283,0.04,0.42,small
P284,0.08,0.44,negligible
P285,0.0,0.35,small
P286,0.02,0.4,small
P288,0.0,0.35,small
P289,0.08,0.44,negligible
P29,0.08,0.44,negligible
P291,0.04,0.42,small
P292,0.0,0.31,medium
P293,0.08,0.44,negligible
P295,1.0,0.5,negligible
P296,0.04,0.42,small
P297,0.08,0.44,negligible
P298,0.04,0.42,small
P299,0.02,0.4,small
P3,0.08,0.44,negligible
P30,0.04,0.42,small
P300,0.01,0.38,small
P301,0.04,0.42,small
P302,0.01,0.38,small
P303,0.01,0.38,small
P305,0.0,0.35,small
P306,0.01,0.38,small
P308,1.0,0.5,negligible
P309,0.01,0.37,small
P31,0.02,0.4,small
P310,0.04,0.42,small
P311,0.0,0.33,medium
P312,0.04,0.42,small
P314,1.0,0.5,negligible
P315,0.08,0.44,negligible
P316,0.02,0.4,small
P319,0.16,0.46,negligible
P32,0.02,0.4,small
P320,0.04,0.42,small
P321,0.01,0.37,small
P322,0.01,0.38,small
P324,0.04,0.42,small
P325,0.01,0.37,small
P327,0.04,0.42,small
P33,0.04,0.42,small
P330,0.04,0.42,small
P331,0.02,0.4,small
P332,0.0,0.35,small
P333,0.08,0.44,negligible
P335,0.02,0.4,small
P336,0.04,0.42,small
P337,0.0,0.35,small
P338,0.0,0.29,medium
P339,0.02,0.4,small
P34,0.16,0.46,negligible
P340,1.0,0.5,negligible
P341,0.01,0.37,small
P342,0.08,0.44,negligible
P343,0.02,0.4,small
P344,0.0,0.35,small
P345,0.08,0.44,negligible
P346,0.04,0.42,small
P347,0.01,0.37,small
P348,0.01,0.37,small
P35,0.04,0.42,small
P351,0.04,0.42,small
P352,0.0,0.21,large
P353,0.08,0.44,negligible
P354,0.02,0.4,small
P355,0.01,0.38,small
P356,0.08,0.44,negligible
P357,0.0,0.33,medium
P358,0.01,0.37,small
P359,0.0,0.33,medium
P36,0.01,0.38,small
P360,0.01,0.38,small
P361,0.0,0.31,medium
P362,0.02,0.4,small
P363,0.04,0.42,small
P364,0.01,0.38,small
P366,0.04,0.42,small
P367,0.34,0.48,negligible
P368,0.0,0.35,small
P370,0.08,0.44,negligible
P371,0.02,0.4,small
P372,0.08,0.44,negligible
P374,0.08,0.44,negligible
P375,0.01,0.38,small
P376,1.0,0.5,negligible
P378,0.04,0.42,small
P379,1.0,0.5,negligible
P38,0.01,0.37,small
P380,0.01,0.37,small
P383,0.04,0.42,small
P384,0.04,0.42,small
P385,0.04,0.42,small
P386,0.02,0.4,small
P387,0.08,0.44,negligible
P388,0.01,0.38,small
P389,0.08,0.44,negligible
P39,0.34,0.48,negligible
P390,0.04,0.42,small
P391,0.08,0.44,negligible
P392,0.04,0.42,small
P395,0.08,0.44,negligible
P396,0.01,0.37,small
P397,0.04,0.42,small
P398,0.04,0.42,small
P399,1.0,0.5,negligible
P4,0.0,0.35,small
P40,0.08,0.44,negligible
P400,1.0,0.5,negligible
P401,0.08,0.44,negligible
P404,0.0,0.31,medium
P405,1.0,0.5,negligible
P406,0.08,0.44,negligible
P407,0.0,0.31,medium
P409,0.02,0.4,small
P41,0.0,0.23,large
P410,0.0,0.31,medium
P411,0.04,0.42,small
P412,0.08,0.44,negligible
P413,0.01,0.37,small
P414,0.0,0.35,small
P415,1.0,0.5,negligible
P416,0.04,0.42,small
P417,0.0,0.25,large
P418,0.04,0.42,small
P419,0.0,0.31,medium
P42,0.04,0.42,small
P420,0.04,0.42,small
P421,0.0,0.31,medium
P422,0.0,0.19,large
P424,0.04,0.42,small
P425,0.01,0.37,small
P426,1.0,0.5,negligible
P428,0.01,0.38,small
P429,0.04,0.42,small
P43,0.04,0.42,small
P431,0.01,0.37,small
P432,0.0,0.17,large
P433,1.0,0.5,negligible
P435,0.04,0.42,small
P436,0.0,0.29,medium
P437,0.08,0.44,negligible
P439,0.01,0.38,small
P44,0.0,0.33,medium
P440,0.02,0.4,small
P441,0.16,0.46,negligible
P442,0.0,0.35,small
P443,0.04,0.42,small
P444,0.08,0.44,negligible
P446,0.04,0.42,small
P447,0.01,0.37,small
P448,0.16,0.46,negligible
P45,0.0,0.33,medium
P450,1.0,0.5,negligible
P451,0.0,0.29,medium
P452,0.04,0.42,small
P453,0.08,0.44,negligible
P454,0.01,0.37,small
P455,0.08,0.44,negligible
P456,0.34,0.48,negligible
P457,0.01,0.38,small
P458,0.04,0.42,small
P459,0.01,0.38,small
P46,0.08,0.44,negligible
P460,0.01,0.37,small
P462,0.02,0.4,small
P463,0.04,0.42,small
P464,0.02,0.4,small
P465,0.0,0.31,medium
P466,0.02,0.4,small
P469,1.0,0.5,negligible
P470,0.04,0.42,small
P471,0.01,0.37,small
P472,0.0,0.33,medium
P473,1.0,0.5,negligible
P474,0.08,0.44,negligible
P475,0.04,0.42,small
P476,0.08,0.44,negligible
P478,0.08,0.44,negligible
P479,0.0,0.31,medium
P48,1.0,0.5,negligible
P480,0.0,0.35,small
P481,0.0,0.29,medium
P482,0.08,0.44,negligible
P484,0.08,0.44,negligible
P486,0.04,0.42,small
P489,0.04,0.42,small
P49,0.04,0.42,small
P490,0.02,0.4,small
P491,0.08,0.44,negligible
P492,0.02,0.4,small
P494,1.0,0.5,negligible
P495,1.0,0.5,negligible
P496,0.01,0.38,small
P497,0.04,0.42,small
P498,0.04,0.42,small
P499,0.04,0.42,small
P5,0.04,0.42,small
P50,0.01,0.37,small
P501,0.04,0.42,small
P505,0.04,0.42,small
P506,0.01,0.38,small
P507,0.01,0.38,small
P509,0.08,0.44,negligible
P510,0.08,0.44,negligible
P511,0.0,0.35,small
P512,0.01,0.37,small
P513,0.01,0.37,small
P514,0.01,0.38,small
P516,0.01,0.38,small
P517,0.01,0.38,small
P52,0.0,0.35,small
P520,0.04,0.42,small
P522,0.04,0.42,small
P523,0.0,0.15,large
P524,1.0,0.5,negligible
P525,0.0,0.31,medium
P527,0.02,0.4,small
P528,0.16,0.46,negligible
P529,0.04,0.42,small
P530,0.0,0.27,medium
P531,0.04,0.42,small
P532,0.01,0.37,small
P534,0.04,0.42,small
P535,0.04,0.42,small
P536,1.0,0.5,negligible
P538,0.0,0.31,medium
P540,0.08,0.44,negligible
P541,1.0,0.5,negligible
P543,1.0,0.5,negligible
P544,0.08,0.44,negligible
P546,0.04,0.42,small
P547,0.01,0.38,small
P55,0.08,0.44,negligible
P553,0.0,0.33,medium
P555,0.0,0.31,medium
P556,0.08,0.44,negligible
P557,0.16,0.46,negligible
P558,0.0,0.35,small
P559,0.04,0.42,small
P56,0.02,0.4,small
P560,0.0,0.25,large
P561,0.34,0.48,negligible
P563,0.04,0.42,small
P564,0.01,0.37,small
P565,0.0,0.33,medium
P566,0.04,0.42,small
P568,0.04,0.42,small
P569,0.08,0.44,negligible
P57,1.0,0.5,negligible
P570,0.02,0.4,small
P571,0.02,0.4,small
P572,0.0,0.35,small
P573,0.08,0.44,negligible
P575,1.0,0.5,negligible
P576,0.08,0.44,negligible
P577,0.08,0.44,negligible
P578,0.08,0.44,negligible
P580,0.08,0.44,negligible
P583,0.34,0.48,negligible
P584,0.08,0.44,negligible
P585,0.0,0.29,medium
P586,0.16,0.46,negligible
P587,0.16,0.46,negligible
P588,0.04,0.42,small
P589,1.0,0.5,negligible
P59,0.04,0.42,small
P590,0.04,0.42,small
P591,0.01,0.37,small
P592,0.0,0.31,medium
P593,1.0,0.5,negligible
P594,0.08,0.44,negligible
P595,1.0,0.5,negligible
P596,0.04,0.42,small
P597,0.01,0.38,small
P598,0.0,0.35,small
P599,0.0,0.35,small
P6,0.08,0.44,negligible
P60,0.02,0.4,small
P600,0.01,0.37,small
P601,0.04,0.42,small
P603,0.02,0.4,small
P604,1.0,0.5,negligible
P605,0.01,0.38,small
P606,0.02,0.4,small
P607,0.04,0.42,small
P608,1.0,0.5,negligible
P609,0.01,0.37,small
P610,0.02,0.4,small
P611,0.08,0.44,negligible
P613,0.08,0.44,negligible
P614,1.0,0.5,negligible
P615,1.0,0.5,negligible
P616,0.0,0.33,medium
P617,1.0,0.5,negligible
P618,0.08,0.44,negligible
P619,0.01,0.38,small
P62,0.04,0.42,small
P620,0.0,0.33,medium
P621,0.04,0.42,small
P622,0.01,0.38,small
P623,0.01,0.37,small
P624,0.0,0.35,small
P625,0.04,0.42,small
P627,0.04,0.42,small
P628,0.04,0.42,small
P63,0.0,0.33,medium
P630,0.04,0.42,small
P631,0.08,0.44,negligible
P632,0.02,0.4,small
P633,0.01,0.38,small
P634,0.04,0.42,small
P635,0.0,0.35,small
P637,0.01,0.37,small
P638,0.04,0.42,small
P64,0.0,0.33,medium
P640,1.0,0.5,negligible
P641,1.0,0.5,negligible
P642,0.0,0.33,medium
P643,0.0,0.33,medium
P645,0.0,0.33,medium
P646,0.01,0.37,small
P647,0.04,0.42,small
P648,0.0,0.33,medium
P649,0.16,0.46,negligible
P65,0.04,0.42,small
P650,0.02,0.4,small
P651,0.02,0.4,small
P654,0.01,0.38,small
P655,0.08,0.44,negligible
P656,0.02,0.4,small
P657,0.08,0.44,negligible
P658,0.0,0.35,small
P659,0.01,0.38,small
P660,0.01,0.38,small
P662,0.01,0.38,small
P663,0.0,0.35,small
P664,0.02,0.4,small
P665,0.04,0.42,small
P666,0.08,0.44,negligible
P667,0.08,0.44,negligible
P668,0.01,0.38,small
P669,0.04,0.42,small
P67,0.08,0.44,negligible
P671,1.0,0.5,negligible
P672,0.01,0.38,small
P674,0.02,0.4,small
P675,0.08,0.44,negligible
P676,0.08,0.44,negligible
P677,0.0,0.31,medium
P678,0.01,0.37,small
P679,0.0,0.23,large
P68,0.16,0.46,negligible
P680,0.04,0.42,small
P681,0.08,0.44,negligible
P682,0.01,0.38,small
P683,0.0,0.31,medium
P684,0.08,0.44,negligible
P685,0.02,0.4,small
P686,0.08,0.44,negligible
P688,0.02,0.4,small
P689,0.0,0.35,small
P690,0.04,0.42,small
P693,1.0,0.5,negligible
P694,0.04,0.42,small
P695,0.04,0.42,small
P696,0.04,0.42,small
P697,0.02,0.4,small
P698,0.0,0.35,small
P699,0.04,0.42,small
P7,0.08,0.44,negligible
P700,0.01,0.37,small
P701,0.02,0.4,small
P702,0.08,0.44,negligible
