Program,Pvalue,Avalue,Mag
P0,0.0,0.85,large
P10,0.0,0.35,small
P100,0.15,0.44,negligible
P101,0.15,0.44,negligible
P102,0.01,0.37,small
P103,0.08,0.44,negligible
P104,0.01,0.38,small
P105,0.0,0.31,medium
P106,0.04,0.42,small
P107,0.0,1.0,large
P109,0.0,0.35,small
P11,0.01,0.69,medium
P111,0.0,0.88,large
P112,0.15,0.44,negligible
P113,0.01,0.38,small
P114,0.0,0.34,small
P115,0.0,0.98,large
P116,1.0,0.5,negligible
P117,0.02,0.4,small
P118,0.0,0.31,medium
P119,0.0,0.34,small
P12,0.0,0.35,small
P120,0.08,0.44,negligible
P122,1.0,0.5,negligible
P123,0.01,0.69,medium
P124,0.08,0.44,negligible
P125,0.0,0.29,medium
P127,0.01,0.38,small
P128,0.04,0.42,small
P129,0.08,0.44,negligible
P13,0.02,0.4,small
P130,0.05,0.41,small
P131,0.0,0.34,small
P132,0.0,1.0,large
P133,0.0,0.33,medium
P134,0.0,1.0,large
P135,0.0,0.35,small
P136,0.44,0.56,negligible
P137,0.0,1.0,large
P138,1.0,0.5,negligible
P139,0.04,0.42,small
P14,0.0,0.32,medium
P141,0.04,0.42,small
P144,0.0,0.29,medium
P145,0.15,0.44,negligible
P146,0.0,1.0,large
P147,0.28,0.46,negligible
P148,0.08,0.44,negligible
P149,0.04,0.42,small
P150,0.0,0.34,small
P152,0.0,0.73,medium
P153,0.0,0.24,large
P154,0.01,0.38,small
P155,0.0,1.0,large
P156,0.02,0.4,small
P157,0.01,0.38,small
P158,0.0,0.33,medium
P159,0.01,0.38,small
P16,0.3,0.46,negligible
P160,0.04,0.42,small
P161,0.0,0.33,medium
P162,0.04,0.4,small
P163,0.0,1.0,large
P164,0.02,0.4,small
P167,0.0,1.0,large
P168,0.0,0.31,medium
P169,0.02,0.4,small
P17,0.0,0.75,large
P170,0.0,0.73,medium
P172,0.01,0.38,small
P173,0.0,0.31,medium
P174,0.08,0.44,negligible
P175,0.0,0.33,medium
P176,0.0,0.35,small
P177,0.04,0.42,small
P178,0.08,0.44,negligible
P18,0.0,0.29,medium
P181,0.02,0.38,small
P182,0.0,0.33,medium
P183,0.01,0.37,small
P184,0.0,0.32,medium
P186,0.28,0.46,negligible
P187,0.0,0.33,medium
P188,0.0,0.71,medium
P189,0.0,0.9,large
P19,0.08,0.44,negligible
P191,0.0,0.35,small
P193,0.01,0.38,small
P194,0.02,0.38,small
P195,0.0,0.31,medium
P196,0.0,0.3,medium
P197,0.0,0.31,medium
P198,1.0,0.5,negligible
P199,0.0,0.31,medium
P2,0.0,0.77,large
P20,1.0,0.5,negligible
P200,0.0,1.0,large
P201,0.0,0.33,medium
P202,0.01,0.38,small
P203,0.0,0.79,large
P204,0.0,0.35,small
P205,0.08,0.44,negligible
P207,0.0,0.25,large
P209,0.0,0.35,small
P21,1.0,0.5,negligible
P210,0.02,0.4,small
P211,0.0,0.81,large
P212,0.0,0.33,medium
P213,0.04,0.42,small
P214,0.31,0.46,negligible
P216,0.34,0.52,negligible
P218,0.0,0.77,large
P219,0.0,1.0,large
P22,0.04,0.42,small
P220,0.0,0.73,medium
P224,0.34,0.52,negligible
P225,0.15,0.44,negligible
P226,0.0,0.31,medium
P227,0.01,0.38,small
P228,0.0,0.33,medium
P229,0.08,0.42,small
P23,0.0,0.94,large
P230,0.57,0.52,negligible
P231,0.0,0.35,small
P233,0.04,0.42,small
P234,0.01,0.37,small
P235,0.01,0.37,small
P237,0.02,0.4,small
P238,0.0,0.34,small
P239,1.0,0.5,negligible
P24,0.0,0.88,large
P240,0.04,0.42,small
P241,0.0,0.29,medium
P243,0.01,0.37,small
P244,0.0,0.33,medium
P245,1.0,0.5,negligible
P247,0.01,0.38,small
P249,0.0,0.75,large
P25,0.0,1.0,large
P250,0.02,0.4,small
P251,0.01,0.38,small
P252,0.34,0.52,negligible
P253,0.0,0.96,large
P256,0.0,0.29,medium
P258,0.0,0.35,small
P26,0.0,0.35,small
P260,0.0,0.25,large
P261,0.0,0.35,small
P262,0.01,0.69,medium
P263,0.04,0.42,small
P264,0.0,0.33,medium
P265,0.01,0.36,small
P266,0.08,0.44,negligible
P267,0.07,0.42,small
P268,0.0,1.0,large
P269,0.0,0.31,medium
P270,0.0,0.33,medium
P271,0.04,0.42,small
P272,0.01,0.37,small
P273,0.0,0.71,medium
P274,0.0,0.35,small
P275,0.0,0.35,small
P276,0.04,0.42,small
P277,0.01,0.37,small
P278,0.0,0.88,large
P279,0.01,0.37,small
P28,1.0,0.5,negligible
P281,0.0,0.33,medium
P282,0.0,0.31,medium
P283,0.0,0.29,medium
P284,0.01,0.38,small
P285,0.01,0.37,small
